ticketNo,confirmationNo,travelDocument,seatNo,flightNo,departureDate
1,1,16060510-0759,1A,DN372,2020-09-30
2,1,16940122-5850,1B,DN372,2020-09-30
3,2,16271225-4412,1C,DN372,2020-09-30
4,2,16060325-8625,1D,DN372,2020-09-30
5,3,16891219-7517,1E,DN372,2020-09-30
6,3,16490305-3546,1F,DN372,2020-09-30
7,4,16040530-9543,2A,DN372,2020-09-30
8,4,16490904-1982,2B,DN372,2020-09-30
9,5,16031229-8268,2C,DN372,2020-09-30
10,5,16890717-8282,2D,DN372,2020-09-30
11,6,16101008-5239,2E,DN372,2020-09-30
12,6,16161111-3711,2F,DN372,2020-09-30
13,7,16891029-9851,3A,DN372,2020-09-30
14,7,16491201-6724,3B,DN372,2020-09-30
15,8,16580718-5201,3C,DN372,2020-09-30
16,8,16610515-2992,3D,DN372,2020-09-30
17,9,16050402-0173,3E,DN372,2020-09-30
18,9,16111009-2648,3F,DN372,2020-09-30
19,10,16140805-3104,1A,J7488,2020-06-05
20,10,16920216-8358,1B,J7488,2020-06-05
21,11,16101007-7111,1C,J7488,2020-06-05
22,11,16061230-7694,1D,J7488,2020-06-05
23,12,16100528-7683,1E,J7488,2020-06-05
24,12,16930417-0237,1F,J7488,2020-06-05
25,13,16581130-0689,2A,J7488,2020-06-05
26,13,16000228-9684,2B,J7488,2020-06-05
27,14,16780120-3824,2C,J7488,2020-06-05
28,14,16490904-1982,2D,J7488,2020-06-05
29,15,16480502-9560,2E,J7488,2020-06-05
30,15,16110206-6022,2F,J7488,2020-06-05
31,16,16271225-4412,3A,J7488,2020-06-05
32,16,16191226-6457,3B,J7488,2020-06-05
33,17,16891029-9851,3C,J7488,2020-06-05
34,17,16351006-8632,3D,J7488,2020-06-05
35,18,16360928-2953,3E,J7488,2020-06-05
36,18,16520915-2577,3F,J7488,2020-06-05
37,19,16650229-7226,1A,XL71,2020-11-01
38,19,16340528-0565,1B,XL71,2020-11-01
39,20,16060510-0759,1C,XL71,2020-11-01
40,20,16450413-7565,1D,XL71,2020-11-01
41,21,16780520-7797,1E,XL71,2020-11-01
42,21,16351006-8632,1F,XL71,2020-11-01
43,22,16090903-1809,2A,XL71,2020-11-01
44,22,16500402-9038,2B,XL71,2020-11-01
45,23,16931205-5859,2C,XL71,2020-11-01
46,23,16100528-7683,2D,XL71,2020-11-01
47,24,16680307-1361,2E,XL71,2020-11-01
48,24,16120511-2749,2F,XL71,2020-11-01
49,25,16550923-8845,3A,XL71,2020-11-01
50,25,16550624-6338,3B,XL71,2020-11-01
51,26,16600221-0950,3C,XL71,2020-11-01
52,26,16160304-0336,3D,XL71,2020-11-01
53,27,16510109-6732,3E,XL71,2020-11-01
54,27,16610515-2992,3F,XL71,2020-11-01
55,28,16190219-6698,1A,D3396,2020-09-29
56,28,16800517-6485,1B,D3396,2020-09-29
57,29,16980712-2024,1C,D3396,2020-09-29
58,29,16260227-4298,1D,D3396,2020-09-29
59,30,16110206-6022,1E,D3396,2020-09-29
60,30,16440526-2314,1F,D3396,2020-09-29
